genera,Genera Count,Number of Contigs
Rickettsiales,1,12
Riemerella,1,16
Rivularia,1,63
Thermogutta,1,40
Acaryochloris,1,35
Marinilactibacillus,1,10
Odoribacter,1,30
Defluviitoga,1,12
Cuniculiplasma,1,13
Cyanidioschyzon,1,114
Cystobacter,1,81
Cytophaga,1,25
Dactylococcopsis,1,22
Dechloromonas,1,25
Dechlorosoma,1,24
Deferribacter,1,10
Defluviimonas,1,21
Dehalobacterium,1,28
Frischella,1,22
Denitrobacterium,1,16
Denitrovibrio,1,18
Dermacoccus,1,18
Dermatophilus,1,13
Desulfarculus,1,23
Desulfatibacillum,1,38
Desulfobacca,1,16
Desulfobacterium,1,35
Desulfobacula,1,34
Cryptobacterium,1,10
Croceibacter,1,14
Crinalium,1,29
Coxiellalike,1,20
Chloroherpeton,1,28
Chondrocystis,1,34
Chondromyces,1,91
Chromatiaceae,1,35
Chromohalobacter,1,20
Chroococcidiopsis,1,58
Citromicrobium,1,26
Clavibacter,1,25
Cloacibacillus,1,20
Cnuibacter,1,25
Cobetia,1,33
Condylorrhiza,1,2
Conexibacter,1,37
Confluentimicrobium,1,23
Coprothermobacter,1,5
Coraliomargarita,1,22
Corallococcus,1,64
Coriobacteriaceae,1,14
Coriobacterium,1,13
Desulfocapsa,1,21
Desulfohalobium,1,20
Desulfomonile,1,43
Erysipelotrichaceae,1,34
Ezakiella,1,11
Faecalibacterium,1,20
Faecalibaculum,1,12
Ferrimonas,1,22
Ferroglobus,1,9
Fervidicoccus,1,8
Fibrella,1,40
Fibrobacter,1,23
Filifactor,1,11
Filimonas,1,59
Fimbriimonas,1,34
Finegoldia,1,9
Fischerella,1,42
Flammeovirga,1,43
Flammeovirgaceae,1,46
Flavisolibacter,1,39
Flavonifractor,1,34
Flexistipes,1,13
Fluviicola,1,35
Ethanoligenens,1,21
Eremothecium,1,56
Desulfotalea,1,27
Endomicrobium,1,5
Desulfurella,1,6
Desulfurispirillum,1,29
Desulfurivibrio,1,21
Desulfurobacterium,1,9
Devosia,1,33
Devriesea,1,24
Dialister,1,9
Diaphorobacter,1,23
Dichelobacter,1,6
Dietzia,1,23
Dinoroseobacter,1,22
Dokdonella,1,28
Draconibacterium,1,32
Dyadobacter,1,38
Echinicola,1,29
Ectothiorhodospira,1,25
Eggerthellaceae,1,10
Eikenella,1,12
Elusimicrobium,1,11
Chloracidobacterium,1,22
Chelativorans,1,30
Chania,1,40
Alicycliphilus,1,41
Alistipes,1,28
Alkalilimnicola,1,19
Alkalitalea,1,37
Alloactinosynnema,1,62
Allochromatium,1,19
Allofrancisella,1,13
Aminobacter,1,33
Aminobacterium,1,5
Ammonifex,1,13
Amphibacillus,1,13
Anaerolinea,1,22
Anaerostipes,1,25
Antarctobacter,1,30
Aquaspirillum,1,27
Aquifex,1,12
Arachidicoccus,1,18
Arcanobacterium,1,11
Archangium,1,74
Ardenticatena,1,32
Alicyclobacillus,1,23
Algoriphagus,1,23
Arsenicicoccus,1,28
Algibacter,1,28
Acetobacterium,1,22
Acetohalobium,1,20
Acetomicrobium,1,20
Acidihalobacter,1,28
Acidimicrobium,1,13
Acidipropionibacterium,1,29
Acidobacterium,1,23
Acidothermus,1,18
Actinopolyspora,1,53
Actinotignum,1,16
Adlercreutzia,1,23
Aequorivita,1,18
Aeribacillus,1,28
Aeromicrobium,1,18
Agarilytica,1,58
Agarivorans,1,30
Agromyces,1,22
Alcaligenaceae,1,21
Alcaligenes,1,34
Arenibacter,1,36
Arsenophonus,1,8
Cedecea,1,34
Bibersteinia,1,10
Blastococcus,1,32
Botrytis,1,277
Brenneria,1,38
Brochothrix,1,16
Buchnera,1,6
Caenorhabditis,1,677
Caldilinea,1,32
Caldimicrobium,1,10
Caldisericum,1,15
Caldisphaera,1,10
Calditerrivibrio,1,16
Caldithrix,1,32
Caldivirga,1,5
Candida,1,98
Carboxydothermus,1,13
Cardinium,1,6
Castellaniella,1,19
Catenulispora,1,76
Caulobacteraceae,1,24
Blastochloris,1,23
Beutenbergia,1,25
Asaia,1,25
Betaproteobacteria,1,33
Aster,1,2
Asticcacaulis,1,26
Atopobium,1,19
Aurantimicrobium,1,13
Aureimonas,1,31
Auricoccus,1,6
Azorhizobium,1,22
Bacterioplanes,1,30
Bacteriovorax,1,25
Bacteroidales,1,20
Barnesiella,1,19
Basilea,1,11
Baumannia,1,8
Beggiatoa,1,26
Beihai,1,1
Beijerinckia,1,29
Belliella,1,37
Bernardetia,1,28
Beta,1,14
Frateuria,1,24
Fuerstia,1,64
Oceanobacillus,1,28
Methanothermococcus,1,17
Methanogenic,1,15
Methanohalobium,1,18
Methanolacinia,1,18
Methanomethylovorans,1,11
Methanopyrus,1,9
Methanosalsum,1,15
Methanosphaera,1,12
Methanosphaerula,1,23
Methanospirillum,1,20
Methanothermus,1,8
Gallibacterium,1,25
Methanotorris,1,9
Methylibium,1,34
Methylobacillus,1,19
Methylocaldum,1,42
Methyloceanibacter,1,16
Methylocella,1,26
Methylococcus,1,21
Methylomicrobium,1,33
Methylophilus,1,27
Methanocorpusculum,1,10
Mesotoga,1,22
Melittangium,1,71
Melissococcus,1,11
Luteimonas,1,11
Luteipulveratus,1,33
Luteitalea,1,58
Mageeibacillus,1,18
Magnetococcus,1,30
Magnetospira,1,35
Mahella,1,24
Maize,1,6
Maricaulis,1,23
Marichromatium,1,28
Marinifilaceae,1,39
Marinithermus,1,14
Marinobacterium,1,37
Marinovum,1,20
Marivirga,1,31
Marivivens,1,16
Megamonas,1,8
Megasphaera,1,11
Melioribacter,1,17
Methylorubrum,1,43
Methyloversatilis,1,20
Methylovulum,1,30
Natronococcus,1,28
Nautilia,1,12
Neoasaia,1,21
Neomicrococcus,1,9
Niastella,1,68
Nibricoccus,1,35
Nitratifractor,1,14
Nitratireductor,1,26
Nitratiruptor,1,13
Nitrosopumilus,1,3
Nitrososphaera,1,16
Nitrospirillum,1,50
Nonomuraea,1,94
Nostocales,1,56
Novibacillus,1,23
Obesumbacterium,1,47
Oblitimonas,1,19
Oceanicoccus,1,28
Oceanimonas,1,23
Oceanithermus,1,20
Natronolimnobius,1,23
Natronobacterium,1,16
Micavibrio,1,19
Natrialba,1,27
Microcella,1,16
Micrococcus,1,15
Microcoleus,1,42
Microlunatus,1,31
Microterricola,1,21
Microvirga,1,49
Minicystis,1,117
Mitsuaria,1,35
Mobiluncus,1,12
Modestobacter,1,40
Moorea,1,72
Moorella,1,13
Morganella,1,26
Moritella,1,43
Mucinivorans,1,13
Murdochiella,1,11
Muribaculum,1,22
Nakamurella,1,41
Natranaerobius,1,26
Luteibacter,1,28
Loktanella,1,24
Lishi,1,1
Halalkalicoccus,1,16
Haliangium,1,59
Haliscomenobacter,1,46
Halobacteroides,1,16
Halobiforma,1,37
Halocynthiibacter,1,22
Halodesulfurarchaeum,1,10
Halogeometricum,1,15
Halomicrobium,1,28
Halopenitus,1,18
Halophilic,1,24
Halopiger,1,23
Haloquadratum,1,20
Halorhodospira,1,22
Halorientalis,1,26
Halostagnicola,1,12
Halotalea,1,24
Halothece,1,29
Halothermothrix,1,18
Halovivax,1,21
Halanaeroarchaeum,1,14
Hahella,1,61
Herbinix,1,14
Haematospirillum,1,19
Gallionella,1,16
Gardnerella,1,16
Geitlerinema,1,31
Gemella,1,12
Gemmata,1,55
Gemmatirosa,1,33
Geoalkalibacter,1,21
Geodermatophilus,1,37
Geosporobacter,1,33
Gibbsiella,1,40
Gilliamella,1,17
Gloeocapsa,1,43
Gluconacetobacter,1,27
Glutamicibacter,1,24
Gordonibacter,1,27
Gottschalkia,1,25
Granulibacter,1,22
Granulosicoccus,1,54
Gynuella,1,52
Heliobacterium,1,29
Hippea,1,7
Limnochorda,1,28
Kozakia,1,20
Kurthia,1,19
Kutzneria,1,76
Kyrpidia,1,17
Kytococcus,1,27
Labilithrix,1,78
Lacimicrobium,1,37
Lacunisphaera,1,39
Laribacter,1,23
Lawsonella,1,15
Leadbetterella,1,24
Leclercia,1,31
Leifsonia,1,23
Leishmania,1,234
Leisingera,1,28
Lentibacillus,1,22
Lentzea,1,88
Leptothrix,1,35
Levyella,1,9
Liberibacter,1,7
Kribbella,1,53
Kiritimatiella,1,20
Hirschia,1,15
Kineococcus,1,27
Hoeflea,1,32
Hoyosella,1,32
Hungateiclostridiaceae,1,23
Hydrogenobacter,1,11
Hyperthermus,1,15
Ichthyobacterium,1,14
Ignavibacterium,1,28
Ilumatobacter,1,36
Ilyobacter,1,18
Immundisolibacter,1,30
Intestinimonas,1,30
Intrasporangium,1,33
Isosphaera,1,41
Janibacter,1,22
Jannaschia,1,29
Jeongeupia,1,31
Jeotgalibacillus,1,25
Jonesia,1,17
Kibdelosporangium,1,81
secondary,1,2
