genera,Genera Count,Number of Contigs
Leishmania,1,2312
Leisingera,1,293
Lentibacillus,1,275
Lentzea,1,673
Leptothrix,1,357
Levyella,1,121
Liberibacter,1,106
Limnochorda,1,285
Lishi,1,1
Kutzneria,1,711
Kurthia,1,186
Kribbella,1,524
Kozakia,1,219
Hydrogenobacter,1,119
Hyperthermus,1,117
Ichthyobacterium,1,129
Ignavibacterium,1,265
Ilumatobacter,1,345
Ilyobacter,1,135
Immundisolibacter,1,208
Intestinimonas,1,240
Intrasporangium,1,250
Isosphaera,1,371
Janibacter,1,207
Jannaschia,1,310
Jeongeupia,1,248
Jeotgalibacillus,1,236
Jonesia,1,207
Kenaf,1,1
Kibdelosporangium,1,804
Kineococcus,1,334
Kiritimatiella,1,204
secondary,1,18
